"grdc_no","wmo_reg","sub_reg","river","station","country","latitude","longitude","area","altitude","d_start","d_end","d_yrs","d_miss","m_start","m_end","m_yrs","m_miss","t_start","t_end","t_yrs","lta_discharge","r_volume_yr","r_height_yr"
"1577102","1","77","AWASH WENZ","METAHARA","ET","8.85","39.85","16416","-999","1982","2009","28","4.165444412","","","","","1982","2009","28","33.721","1.063425456","64.77981579"
"1577200","1","77","MOJO WENZ","MOJO VILLAGE","ET","8.57","38.6","2050","2050","1978","1980","3","0","1978","1980","3","0","1978","1980","3","2.6","0.0819936","39.99687805"
"1577300","1","77","K'ELET'A WENZ","SIRE VILLAGE","ET","8.27","39.4","745","1560","1978","1980","3","0","1978","1980","3","0","1978","1980","3","2.448","0.077200128","103.6243329"
"1577500","1","77","KESSEM","AWARA MELKA","ET","9.15","39.93","3135","850","1978","1980","3","0","1978","1980","3","0","1978","1980","3","14.029","0.442418544","141.1223426"
"1577600","1","77","AWASH WENZ","AWASH","ET","9.2","40.2","18710","-999","","","","","1976","1979","4","0","1976","1979","4","46.057","1.452453552","77.62979968"
"1577601","1","77","AWASH WENZ","MELKA SEDI","ET","9.39","40.13","21520","-999","1990","2009","20","0.154559505","","","","","1990","2009","20","53.629","1.691244144","78.5894119"
"1577602","1","77","AWASH WENZ","ADAITU","ET","11.133333","40.783333","52835","-999","1990","2004","15","5.145195868","","","","","1990","2004","15","62.92","1.98424512","37.55550525"
"1577603","1","77","AWASH WENZ","TENDAHO","ET","11.683333","40.95","62088","-999","1990","2004","15","14.45581395","","","","","1990","2004","15","69.429","2.189512944","35.26467182"
"1577700","1","77","BORKENA SHET'","SWAMP OUTLET","ET","10.65","39.92","1350","1350","1978","1980","3","0","1978","1980","3","0","1978","1980","3","3.735","0.11778696","87.2496"
"1577800","1","77","MET'I WENZ","MILLE VILLAGE","ET","11.4","40.73","4350","550","1978","1980","3","0","1978","1980","3","0","1978","1980","3","44.035","1.38868776","319.2385655"
"1578100","1","78","WEBE","BELOW DODOLA BRIDGE","ET","7.02","39.03","1035","2480","1978","1980","3","0","1976","1980","5","0","1976","1980","5","5.161","0.162757296","157.2534261"
"1578200","1","78","MERIBO SHET'","NEAR ADABA BRIDGE","ET","7","39.33","200","2350","1978","1980","3","0","1978","1980","3","0","1978","1980","3","3.019","0.095207184","476.03592"
"1578500","1","78","SHEBELE, WABI","GODE","ET","5","43","-999","-999","","","","","1969","1975","7","0","1969","1975","7","121.184","3.821658624","n.a."
"1580300","1","80","JUBBA, WEBI","CHENEMASSA","ET","5.52","39.68","10574","-999","","","","","1976","1976","1","0","1976","1976","1","72.071","2.272831056","214.9452483"
"1582700","1","82","GIBE WENZ","NEAR ABELTI","ET","8.23","37.58","15746","-999","","","","","1976","1979","4","0","1976","1979","4","195.207","6.156047952","390.9594787"
"1582800","1","82","WEBE","NEAR WOLKITE","ET","8.25","37.77","1866","1700","1978","1980","3","0","1978","1980","3","0","1978","1980","3","24.281","0.765725616","410.3567074"
"1582820","1","82","GOJEB WENZ","NEAR ENDEBER","ET","8.1","37.9","109","2050","1978","1980","3","0","1978","1980","3","0","1978","1980","3","1.283","0.040460688","371.1989725"
"1582850","1","82","GOROMBO SHET'","NEAR ENDEBER","ET","8.13","37.92","65","2050","1978","1980","3","0","1978","1980","3","0","1978","1980","3","1.203","0.037937808","583.6585846"
"1587200","1","87","GELANA SHET'","DIMMA TORE","ET","5.92","38.13","587","1190","1978","1980","3","0","1978","1980","3","0","1978","1980","3","4.749","0.149764464","255.1353731"
"1591001","1","91","ZAMBEZI RIVER","SENANGA (60370001)","ZM","-16.116667","23.25","284538","-999","1947","2004","58","8.395191801","","","","","1947","2004","58","972.622","30.67260739","107.7979299"
"1591002","1","91","ZAMBEZI RIVER","LUKULU (60370030)","ZM","-14.3833","23.2333","206531","-999","1950","2004","55","12.44123148","","","","","1950","2004","55","772.024","24.34654886","117.8832663"
"1591003","1","91","ZAMBEZI RIVER","KALENI HILL ROAD BRIDGE","ZM","-11.1333","24.25","764","-999","1977","2004","28","34.80802177","","","","","1977","2004","28","12.343","0.389248848","509.4880209"
"1591100","1","91","MAKONDU","CHIVATA VILLAGE","ZM","-13.3333","23.15","3354","-999","1962","2004","43","23.32229721","1978","1981","4","0","1962","2004","43","17.415","0.54919944","163.7446154"
"1591110","1","91","LUINGA","IKELENGE","ZM","-11.2333","24.25","122","-999","1971","2004","34","14.57988753","","","","","1971","2004","34","6.729","0.212205744","1739.391344"
"1591200","1","91","KABOMPO","WATOPA PONTOON (60380050)","ZM","-14.016667","23.6","66667","1075","","","","","1976","1979","4","0","1976","1979","4","339.69","10.71246384","160.6861542"
"1591230","1","91","KABOMPO","MANYINGA ROAD BRIDGE","ZM","-13.75","24.23","-999","-999","","","","","1980","1984","5","0","1980","1984","5","220.81","6.96346416","n.a."
"1591231","1","91","KABOMPO","KABOMPO PONTOON (60380051)","ZM","-13.6","24.2166","42740","-999","1990","2005","16","51.04371097","","","","","1990","2005","16","252.187","7.952969232","186.077895"
